Product,ASIN,Aspect,Avg_Dist,PMI,n_reviews,is_aspect,part_of_trigram
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,low light,1.28,0.00078,208,1,
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,kit lens,1.12,0.00017,171,0,
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,canon lens,2.01,5.00E-05,126,0,
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,build quality,1.07,0.00107,124,1,
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,depth field,2.01,0.00464,123,1,
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,prime lens,1.02,0.00013,116,1,
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,50mm lens,1.72,6.00E-05,102,1,
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,portrait lens,1.64,6.00E-05,88,1,
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,focal length,1.02,0.00646,81,1,
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,image quality,1.19,0.00054,79,1,
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,auto focus,1.33,0.00112,75,1,
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,zoom lens,1.25,7.00E-05,73,1,
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,cheap lens,1.67,5.00E-05,73,0,
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,manual focus,1.08,0.00093,66,1,
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,fast lens,1.65,6.00E-05,65,0,
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,focus ring,1.08,0.00089,62,1,
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,recommend lens,2.13,6.00E-05,58,0,
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,lens sharp,2.02,3.00E-05,56,0,
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,picture quality,1.4,0.00017,52,1,
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,background blur,1.63,0.00493,50,1,
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,sound quality,1.25,0.0003,207,1,
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,volume control,1.32,0.00053,195,1,
