Label,Rating,Product,Aspect,TextBlob,VADER,Afinn,Review
-1,1,Wireless Router w/ WiFi Range Extender Mode (300 Mbps) by Medialink - Easy YouTube Setup Video (Part# MWNWAPR300N ),week,-1,-0.5423,-3,HORRIBLE ROUTER.. DROPS CONNECTION EVERY WEEK AND YOU HAVE TO RESET THE IP 
-1,1,"Mediabridge ULTRA Series HDMI Cable (6 Foot) - High-Speed Supports Ethernet, 3D and Audio Return [Newest Standard]",picture,-1,-0.6249,-1,This thing gave me the worst picture quality.  
-1,1,SanDisk Sansa Clip+ 4 GB MP3 Player (Red) (Discontinued by Manufacturer),battery life,-0.975,-0.5256,-2,I'm very disappointed in the battery life of the Clip Plus (8GB). 
-1,1,SanDisk Sansa Clip+ 4 GB MP3 Player (Red) (Discontinued by Manufacturer),mp3,-0.5,-0.5106,-2,This is about the 6th Sansa MP3 player that has failed out of about 8 I have bought throughout the years. I will not buy another Sandisk Sansa MP3 ever again.
-1,1,SanDisk Ultra 64GB MicroSDXC Class 10 UHS Memory Card Speed Up To 30MB/s With Adapter - SDSDQUA-064G-U46A [Old Version],microsd,-0.5,-0.5106,-2,The microsd card failed yesterday inside my phone. 
-1,1,"JLab Audio JBuds Hi-Fi Noise-Reducing Ear Buds, GUARANTEED FOR LIFE - White",quality,-0.5,-0.7003,2,Unfortunately the lower cost comes with a lower quality.
-1,1,Belkin Mini 5W 3-Outlet Swivel Travel Charger with Dual USB Ports,surge,-0.475,-0.4927,-2,"the USB charge port is absolutely worthless, and given the fact that one part of this device failed (the USB charge port), I have zero confidence in the other part of it (the surge protector) ... bottom line, I'm throwing all five of mine in the trash ... "
-1,1,SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,card,-0.439,-0.8176,-6,"worst 32gb microSD!never did anything that can corrupt the card or broke it, senseless to stop being recognized by the PC or any other device, was very careful with it..."
-1,1,Roku 2 XS 1080p Streaming Player (Old Model),picture,-0.4,-0.2732,-1,Because it plays it with pixelated image and broken picture.
-1,1,"Mohu Leaf 30 TV Antenna, Indoor, 30 Mile Range, Original Paper-thin, Reversible, Paintable, 4K-Ready HDTV, 10 Foot Detachable Cable, Premium Materials for Performance, USA Made, MH-110598",tv,-0.333,-0.5106,-2,"I moved it from window to window, vertical, horizontal:  all over to try to bring in stations that are less than 20 miles from my TV, however it failed over and over.  "
-1,1,Roku 2 XS 1080p Streaming Player (Old Model),service,-0.3,-0.2023,-3,Amazon service sucks and gets zero stars. 
-1,1,SanDisk Sansa Clip+ 4 GB MP3 Player (Red) (Discontinued by Manufacturer),button,-0.3,-0.5093,-3,"The buttons didn't work, the sound was awful!  "
-1,1,WD Elements 500 GB USB 2.0 Desktop External Hard Drive,drive,-0.267,-0.2846,-2,"is now a year since I purchased the drive.  The warranty expired at the end of May, and within a month of that, the drive failed.  The drive powers on and spins up and the computer recognizes its existence, but it's impossible to access the data using several methods I've tried so far.  "
-1,1,Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,space,-0.256,-0.9231,-10,"Disk shows up as &#34;Removable Disk&#34; in My Computer, but with 0MB of space, no partitions or volumes in Disk Management, unable to format (once got the error &#34;Windows was unable to complete the format&#34; and after that, the format window stopped coming up).Tried the HP formatting tool everyone seems to be raving about - &#34;There is no media in the specified device&#34;.Check Disk - &#34;There is no media in the specified device&#34;When I list disks in DiskPart it doesn't show up, just my other drives, numbered 1,2 & 3, so I decided to try to select 4, it "
-1,1,AmazonBasics High-Speed HDMI Cable with Ethernet - Braided 6.5 feet/2.0 meters (Discontinued by Manufacturer),quality,-0.25,0,-1,I think quality control at supplier or final test of the cables is flawed.
-1,1,BlueRigger High Speed HDMI Cable with Ethernet 6.6 Feet (2m) - Supports 3D and Audio Return [Latest Version],cable,-0.25,-0.6597,-3,"Broken cable, and lack of QA. It also arrived late and took a long while to ship. "
-1,1,Seagate 320GB HDD SATA 6Gb/s 64MB Cache 3.5-Inch Internal Bare Drive (ST320DM000),backup,-0.243,-0.9062,-9,"I'm tired of drive failure, and I'm stunned that both drives (though bought at the same time) would fail at the same time, leaving me with no backup of my data."
0,1,Seagate 320GB HDD SATA 6Gb/s 64MB Cache 3.5-Inch Internal Bare Drive (ST320DM000),raid array,-0.225,-0.3182,-1,I took a chance (reference to the Seagate 1TB fiasco over the past few years) and bought two Seagate drives for use in a raid one array as an OS drive for a home fileserver.  
