Product,ASIN,Aspect,amod_pct,amod_polar_word_pct,n_reviews,is_aspect
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,lens,0.202,0.62,1171,1
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,canon,0.063,0.7,401,0
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,picture,0.337,0.78,367,1
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,quality,0.148,0.7,360,1
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,camera,0.114,0.57,349,0
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,light,0.458,0.24,339,1
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,portrait,0.247,0.7,291,1
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,shot,0.326,0.71,276,1
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,focus,0.116,0.35,255,1
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,50mm,0.087,0.79,253,0
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,photo,0.291,0.75,247,1
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,image,0.319,0.72,242,1
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,kit,0.055,0.88,206,0
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,plastic,0.178,0.68,187,1
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,aperture,0.353,0.5,179,1
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,photography,0.374,0.52,172,1
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,money,0.146,0.48,164,0
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,bokeh,0.281,0.81,159,1
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,field,0.203,0.6,154,1
Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),B00007E7JU,photographer,0.301,0.74,153,0
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,speaker,0.202,0.59,823,1
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,sound,0.125,0.77,653,1
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,bass,0.234,0.66,477,1
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,volume,0.194,0.6,439,1
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,system,0.195,0.72,395,0
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,quality,0.393,0.85,326,1
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,control,0.096,0.52,314,1
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,computer,0.086,0.65,292,0
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,music,0.163,0.54,235,1
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,set,0.104,0.72,225,1
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,subwoofer,0.053,0.56,182,1
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,sub,0.067,0.47,159,0
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,headphone,0.046,0.4,152,0
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,room,0.269,0.6,137,1
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,money,0.188,0.76,127,0
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,jack,0.097,0.22,112,0
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,range,0.253,0.41,108,1
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,desk,0.05,0.29,107,0
